job_id,source,title,company,location,is_remote,category,publication_date,job_url,description
csv-1,csv,Data Engineer,Stripe,San Francisco CA,true,Software Development,2026-03-01,https://stripe.com/jobs/listing/data-engineer,"Build ETL pipelines with Python, SQL, and Airflow. Experience with dbt and data warehousing. Work with Kafka for real-time streaming."
csv-2,csv,Backend Engineer,Notion,New York NY,true,Software Development,2026-03-02,https://www.notion.so/careers/backend-engineer,"Design and scale APIs using Python and PostgreSQL. Deploy with Docker and Kubernetes on AWS."
csv-3,csv,Data Analyst,Spotify,Stockholm Sweden,true,Data,2026-03-03,https://jobs.spotify.com/data-analyst,"Analyze user behavior data using SQL and Tableau. Build dashboards for product and marketing teams."
csv-4,csv,Senior Frontend Engineer,Figma,London UK,true,Software Development,2026-03-04,https://www.figma.com/careers/frontend,"Build React and TypeScript applications. Experience with modern web development and design systems."
csv-5,csv,DevOps Engineer,Hashicorp,Remote,true,DevOps,2026-03-05,https://www.hashicorp.com/careers/devops,"Manage cloud infrastructure on AWS and GCP. Terraform, Docker, Kubernetes, and CI/CD pipelines."
csv-6,csv,Full-stack Developer,Vercel,San Francisco CA,true,Software Development,2026-03-06,https://vercel.com/careers/fullstack,"Full stack development with Next.js, Node.js, and PostgreSQL. Build developer tools and platforms."
csv-7,csv,Machine Learning Engineer,OpenAI,San Francisco CA,true,ML,2026-03-07,https://openai.com/careers/ml-engineer,"Train and deploy ML models. Python, PyTorch, and NLP experience. Work on LLM research and production."
csv-8,csv,Mobile Developer,Discord,Remote,true,Mobile,2026-03-08,https://discord.com/jobs/mobile-developer,"Build iOS and Android apps with React Native. Real-time messaging and voice features."
csv-9,csv,QA Engineer,Atlassian,Sydney Australia,true,Quality,2026-03-09,https://www.atlassian.com/company/careers/qa,"Automation testing and SDET. Python, Selenium, and CI/CD. Test Jira and Confluence products."
csv-10,csv,Product Manager,Databricks,Amsterdam Netherlands,true,Product,2026-03-10,https://www.databricks.com/company/careers/pm,"Technical product manager for data platform. Work with data engineers and Spark users."
csv-11,csv,Security Engineer,Cloudflare,London UK,true,Security,2026-03-11,https://www.cloudflare.com/careers/security,"Application security and DevSecOps. Protect edge infrastructure. AWS, Docker, and security tooling."
csv-12,csv,Junior Data Analyst,Mode Analytics,Remote,true,Data,2026-03-12,https://mode.com/careers/junior-analyst,"Entry-level data analyst. SQL, Python, and Power BI. Graduate welcome. Build reports and dashboards."
csv-13,csv,SRE Engineer,Netflix,Los Gatos CA,true,DevOps,2026-03-13,https://jobs.netflix.com/sre,"Site reliability engineering at scale. Kubernetes, Kafka, and on-call rotation. Chaos engineering."
csv-14,csv,Backend Developer,Plaid,New York NY,true,Software Development,2026-03-14,https://plaid.com/careers/backend,"Microservices with Python and PostgreSQL. Financial data APIs. Deploy with Docker and Airflow."
csv-15,csv,Data Scientist,Anthropic,San Francisco CA,true,ML,2026-03-15,https://www.anthropic.com/careers/data-scientist,"Machine learning and analytics for AI safety. Python, SQL, Spark, and research tooling."
csv-16,csv,Platform Engineer,Shopify,Ottawa Canada,true,DevOps,2026-03-16,https://www.shopify.com/careers/platform,"Build and maintain platform infrastructure. Kubernetes, Kafka, and observability. Support millions of merchants."
csv-17,csv,Frontend Engineer,Linear,Helsinki Finland,true,Software Development,2026-03-17,https://linear.app/careers/frontend,"Build fast and beautiful UIs with React and TypeScript. Real-time collaboration features."
csv-18,csv,Data Engineer,Snowflake,Bellevue WA,true,Software Development,2026-03-18,https://www.snowflake.com/careers/data-engineer,"Build data pipelines for the data cloud. SQL, Python, and Snowpark. ETL and ELT patterns."
csv-19,csv,ML Engineer,Cohere,Toronto Canada,true,ML,2026-03-19,https://cohere.com/careers/ml-engineer,"Production ML systems for NLP. Python, PyTorch, and distributed training. Deploy LLMs at scale."
csv-20,csv,Backend Engineer,Twilio,Denver CO,true,Software Development,2026-03-20,https://www.twilio.com/company/jobs/backend,"Build communication APIs. Python, PostgreSQL, and Redis. High availability and real-time systems."
csv-21,csv,Analytics Engineer,Fivetran,Remote,true,Data,2026-03-21,https://www.fivetran.com/careers/analytics-engineer,"dbt and data modeling. SQL and Python. Build analytics layer for customer data pipelines."
csv-22,csv,Full-stack Engineer,Airtable,San Francisco CA,true,Software Development,2026-03-22,https://airtable.com/careers/fullstack,"Full stack with React, Node.js, and PostgreSQL. Collaborative no-code platform."
csv-23,csv,Security Engineer,Snyk,London UK,true,Security,2026-03-23,https://snyk.io/careers/security-engineer,"DevSecOps and application security. Integrate security into CI/CD. Docker and Kubernetes."
csv-24,csv,Data Analyst,Amplitude,San Francisco CA,true,Data,2026-03-24,https://amplitude.com/careers/analyst,"Product analytics. SQL, Python, and Amplitude. Build reports for product teams."
csv-25,csv,Senior Backend Engineer,GitHub,Remote,true,Software Development,2026-03-25,https://github.com/careers/backend,"Scale GitHub. Ruby, Go, and PostgreSQL. APIs and Git infrastructure."
csv-26,csv,DevOps Engineer,Grafana Labs,Stockholm Sweden,true,DevOps,2026-03-26,https://grafana.com/careers/devops,"Observability platform. Prometheus, Kubernetes, and Terraform. Run Grafana Cloud."
csv-27,csv,Mobile Engineer,Coinbase,Remote,true,Mobile,2026-03-27,https://www.coinbase.com/careers/mobile,"iOS and Android for crypto. Swift, Kotlin, React Native. Secure mobile development."
csv-28,csv,Data Engineer,Datadog,New York NY,true,Software Development,2026-03-28,https://www.datadoghq.com/careers/data-engineer,"Data pipelines for observability. Python, Spark, and Kafka. Petabyte-scale data."
csv-29,csv,QA Automation Engineer,MongoDB,Austin TX,true,Quality,2026-03-29,https://www.mongodb.com/careers/qa,"Test MongoDB products. Python, Selenium, and performance testing. Database and driver testing."
csv-30,csv,Product Manager,Segment,San Francisco CA,true,Product,2026-03-30,https://segment.com/careers/product-manager,"CDP product management. Work with data engineers and analytics. Customer data platform."
csv-31,csv,SRE,Stripe,Seattle WA,true,DevOps,2026-03-31,https://stripe.com/jobs/sre,"Reliability for payments. Kubernetes, Terraform, and on-call. Keep Stripe running 99.99%."
csv-32,csv,Frontend Developer,Webflow,San Francisco CA,true,Software Development,2026-04-01,https://webflow.com/careers/frontend,"Visual web development platform. React, TypeScript, and Canvas APIs."
csv-33,csv,Data Scientist,Meta,Menlo Park CA,true,ML,2026-04-02,https://www.metacareers.com/jobs/data-scientist,"ML for ads and recommendations. Python, PyTorch, and large-scale systems."
csv-34,csv,Backend Engineer,PostHog,Remote,true,Software Development,2026-04-03,https://posthog.com/careers/backend,"Product analytics backend. Python, ClickHouse, and Kafka. Open source."
csv-35,csv,Platform Engineer,Cockroach Labs,New York NY,true,DevOps,2026-04-04,https://www.cockroachlabs.com/careers/platform,"Distributed database platform. Go, Kubernetes, and cloud infrastructure."
csv-36,csv,Junior Software Engineer,LaunchDarkly,Oakland CA,false,Software Development,2026-04-05,https://launchdarkly.com/careers/junior,"Entry-level full stack. React, Go, and feature flags. Graduate program."
csv-37,csv,Data Analyst,Looker,San Francisco CA,true,Data,2026-04-06,https://looker.com/careers/analyst,"BI and analytics. SQL, LookML, and dashboards. Google Cloud ecosystem."
csv-38,csv,Security Engineer,1Password,Remote,true,Security,2026-04-07,https://1password.com/jobs/security,"Password manager security. Application security and cryptography. Rust and Go."
csv-39,csv,ML Engineer,Hugging Face,Paris France,true,ML,2026-04-08,https://huggingface.co/jobs/ml-engineer,"ML platform and models. Python, PyTorch, and transformers. Open source ML."
csv-40,csv,Full-stack Engineer,Retool,San Francisco CA,true,Software Development,2026-04-09,https://retool.com/careers/fullstack,"Internal tools platform. React, Node.js, and PostgreSQL. Low-code for developers."
